num_pozo,nom_pozo,cve_acui,nom_acuif,nom_edo,latitud,longitud,elev_brocal_m,anio_primero,anio_ultimo,pne_primero_m,pne_ultimo_m,delta_pne_m,anios_span,tasa_abatimiento_m_anio,n_obs,en_bbox_piloto,nivel_estres
5140,.RN-4,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.302778,-99.086524,2250.0,1996.0,2019.0,55.62,73.39,17.770000000000003,23.0,0.772608695652174,19.0,False,MEDIO
5125,.BG-99V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.541327,-99.217331,2274.0,2001.0,2025.0,70.92,88.69,17.769999999999996,24.0,0.7404166666666665,16.0,False,MEDIO
5161,RSC-5,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.295234,-98.995279,2251.0,2008.0,2019.0,72.27,80.25,7.980000000000004,11.0,0.7254545454545458,4.0,False,MEDIO
5147,.RS-5B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.28642,-99.118608,2238.0,1997.0,2011.0,51.71,61.7,9.990000000000002,14.0,0.7135714285714287,10.0,False,MEDIO
8074,Pz-04,1501,VALLE DE TOLUCA,México,19.126367,-99.629683,2710.0,1996.0,1997.0,137.5,138.19,0.6899999999999977,1.0,0.6899999999999977,2.0,False,MEDIO
5154,.RS-31B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.298234,-99.141803,2247.0,1997.0,2007.0,63.61,70.37,6.760000000000005,10.0,0.6760000000000005,6.0,False,MEDIO
5113,.5977-V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.357667,-99.072278,2240.0,1996.0,2025.0,54.12,73.0,18.880000000000003,29.0,0.6510344827586207,22.0,False,MEDIO
5105,.2157-V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.253111,-99.021389,2255.0,1996.0,2025.0,38.64,57.4,18.759999999999998,29.0,0.6468965517241378,27.0,False,MEDIO
5073,0.21460000000000001,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.209528,-98.969472,2283.0,1996.0,2025.0,31.35,50.0,18.65,29.0,0.643103448275862,28.0,False,MEDIO
5075,0.2235,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.219781,-98.991076,2254.0,1996.0,2023.0,31.91,48.15,16.24,27.0,0.6014814814814814,27.0,False,MEDIO
8107,Pz-61,1501,VALLE DE TOLUCA,México,19.458467,-99.714717,2573.56,1996.0,1997.0,42.66,43.26,0.6000000000000014,1.0,0.6000000000000014,2.0,False,MEDIO
5123,.BG-60,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.573509,-99.235517,2303.5,1996.0,2022.0,76.07,91.58,15.510000000000005,26.0,0.5965384615384617,17.0,False,MEDIO
5160,RSC-4,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.296849,-98.992298,2253.0,2008.0,2025.0,69.64,79.0,9.36,17.0,0.5505882352941176,8.0,False,MEDIO
8079,Pz-14,1501,VALLE DE TOLUCA,México,19.206667,-99.5874,2604.15,1996.0,1997.0,8.26,8.8,0.5400000000000009,1.0,0.5400000000000009,2.0,False,MEDIO
8101,Pz-52,1501,VALLE DE TOLUCA,México,19.41495,-99.79465,2595.5,1996.0,1997.0,36.65,37.14,0.490000000000002,1.0,0.490000000000002,2.0,False,MEDIO
8087,Pz-29,1501,VALLE DE TOLUCA,México,19.291933,-99.641333,2642.93,1996.0,1997.0,64.4,64.89,0.4899999999999949,1.0,0.4899999999999949,2.0,False,MEDIO
5076,0.22389999999999999,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.241642,-98.985918,2273.0,1996.0,2023.0,42.99,56.1,13.11,27.0,0.4855555555555555,24.0,False,MEDIO
5074,0.2147,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.207046,-98.983095,2263.0,1997.0,2024.0,33.04,46.0,12.96,27.0,0.48000000000000004,27.0,False,MEDIO
5142,.RN-10BIS,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.286409,-99.071801,2250.0,1996.0,2009.0,61.82,67.95,6.130000000000003,13.0,0.47153846153846174,12.0,False,MEDIO
5134,.DX-96,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.466244,-99.216953,2267.0,1996.0,2015.0,80.76,89.46,8.699999999999989,19.0,0.4578947368421047,14.0,False,MEDIO
5090,.6757V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.449944,-99.146944,2237.0,1996.0,2025.0,40.03,52.1,12.07,29.0,0.41620689655172416,20.0,False,MEDIO
5124,.BG-63,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.570731,-99.25172,2309.0,1996.0,2025.0,49.48,61.43,11.950000000000003,29.0,0.4120689655172415,26.0,False,MEDIO
5089,0.67500000000000004,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.48057,-99.129669,2238.0,1996.0,2015.0,38.4,45.78,7.380000000000003,19.0,0.38842105263157906,19.0,False,MEDIO
5118,.AO-24,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.538073,-99.154079,2249.0,1997.0,2024.0,33.02,43.41,10.389999999999993,27.0,0.38481481481481455,25.0,False,MEDIO
8077,Pz-11,1501,VALLE DE TOLUCA,México,19.192467,-99.536067,2573.58,1996.0,1997.0,6.7,7.06,0.35999999999999943,1.0,0.35999999999999943,2.0,False,MEDIO
8091,Pz-38,1501,VALLE DE TOLUCA,México,19.360317,-99.5426,2569.87,1996.0,1997.0,16.18,16.54,0.35999999999999943,1.0,0.35999999999999943,2.0,False,MEDIO
5104,2002,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.253635,-99.062492,2240.0,1996.0,2025.0,37.05,46.7,9.650000000000006,29.0,0.3327586206896554,28.0,False,MEDIO
5117,.A-471,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.499076,-99.238849,2280.0,1998.0,2024.0,83.39,91.24,7.849999999999994,26.0,0.3019230769230767,21.0,False,MEDIO
5116,.A-442,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.486628,-99.247842,2272.0,1996.0,2025.0,68.6,77.22,8.620000000000005,29.0,0.297241379310345,21.0,False,LEVE
8108,Pz-63,1501,VALLE DE TOLUCA,México,19.477983,-99.800867,2555.02,1996.0,1997.0,25.4,25.68,0.28000000000000114,1.0,0.28000000000000114,2.0,False,LEVE
5092,0.80369999999999997,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.521681,-99.122332,2248.0,1996.0,2025.0,45.24,53.24,8.0,29.0,0.27586206896551724,30.0,False,LEVE
5103,0.19969999999999999,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.25449,-99.03714,2253.0,1996.0,2024.0,40.49,48.1,7.609999999999999,28.0,0.27178571428571424,21.0,False,LEVE
8105,Pz-58,1501,VALLE DE TOLUCA,México,19.449567,-99.556733,2617.03,1996.0,1997.0,66.96,67.23,0.27000000000001023,1.0,0.27000000000001023,2.0,False,LEVE
8080,Pz-15,1501,VALLE DE TOLUCA,México,19.212433,-99.628067,2694.01,1996.0,1997.0,81.6,81.86,0.2600000000000051,1.0,0.2600000000000051,2.0,False,LEVE
8097,Pz-47,1501,VALLE DE TOLUCA,México,19.39965,-99.7098,2600.55,1996.0,1997.0,37.52,37.78,0.259999999999998,1.0,0.259999999999998,2.0,False,LEVE
5126,.BO-67,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.539269,-99.182889,2253.0,1996.0,2025.0,41.77,49.07,7.299999999999997,29.0,0.2517241379310344,29.0,False,LEVE
