titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,volumen_punto_m3_anio,volumen_punto_hm3_anio,fecha_titulo,latitud,longitud,cve_acui,nom_acui,en_bbox_piloto,fuente
848535,"PROMOTORA B Y R LOMAS, S.A. DE C.V.",SERVICIOS,450000.0,0.45,450000.0,0.45,2023-01-30,19.42666975,-99.26277794444444,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
850540,"CENTROS CULTURALES DE MEXICO, A.C.",SERVICIOS,300000.0,0.3,300000.0,0.3,2023-09-08,19.42444766666667,-99.29694444444443,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
850978,"INTERLOMAS PARQUE CLUB, S.A. DE C.V.",SERVICIOS,1235000.0,1.235,1235000.0,1.235,2022-12-12,19.381392055555555,-99.29416705555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
851968,AURELIO QUIZAÑOS SUAREZ,AGRÍCOLA,298840.0,0.29884,298840.0,0.29884,2023-02-24,19.40083647222222,-99.32388897222222,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
859646,INMOBILIARIA PARQUE REFORMA S.A. DE C.V.,SERVICIOS,315360.0,0.31536,315360.0,0.31536,2024-03-08,19.440555555555555,-99.15527777777778,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
860730,"CONSORCIO INMOBILIARIO LOMAS, S.A.P.I. DE C.V.",PÚBLICO URBANO,310000.0,0.31,310000.0,0.31,2024-04-19,19.4138915,-99.29527794444444,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
836339,EZEQUIEL MURILLO VILLICAÑA,AGRÍCOLA,1685249.0,1.685249,1685249.0,1.685249,2024-03-08,19.4297255,-99.32749977777776,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100009,"INDUX, S.A. DE C.V.",INDUSTRIAL,18000.0,0.018,18000.0,0.018,1994-06-30,19.39552677777778,-99.19766694444444,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100047,CENTRO DEPORTIVO CHAPULTEPEC A.C.,SERVICIOS,6978.0,0.006978,6978.0,0.006978,1995-05-30,19.42811675,-99.18016727777778,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100064,"LAVANDERIA LA EUROPEA, S.A. DE C.V.",INDUSTRIAL,77328.0,0.077328,38664.0,0.038664,1994-11-22,19.440555694444445,-99.17277827777778,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100064,"LAVANDERIA LA EUROPEA, S.A. DE C.V.",INDUSTRIAL,85920.0,0.08592,42960.0,0.04296,1994-11-22,19.440555888888888,-99.17305558333334,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100074,"FUNDACION DE AYUDA A LA ANCIANIDAD, INSTITUCION DE ASISTENCIA PRIVADA",SERVICIOS,1700.0,0.0017,1700.0,0.0017,1995-07-12,19.345415666666664,-99.20158344444444,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100150,CIRCULO FRANCES DE MEXICO A.C.,SERVICIOS,114559.0,0.114559,114559.0,0.114559,1996-07-04,19.357500833333336,-99.18166711111112,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100506,PARQUE ARTURO MUNDET A.C.,INDUSTRIAL,118510.0,0.11851,118510.0,0.11851,1996-05-06,19.44028033333333,-99.21416661111112,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100756,"FANTASIAS MIGUEL, S.A. DE C.V.",INDUSTRIAL,20000.0,0.02,20000.0,0.02,1999-06-28,19.44389105555556,-99.18305555555555,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100778,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO SIN TIPO DE SOC,SERVICIOS,812052.0,0.812052,270684.0,0.270684,1999-10-18,19.330558472222226,-99.18194425,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100778,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO SIN TIPO DE SOC,SERVICIOS,1641125.0,1.641125,547041.6666666666,0.5470416666666666,1999-10-18,19.325002916666666,-99.19138886111112,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE100778,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO SIN TIPO DE SOC,SERVICIOS,531482.0,0.531482,177160.66666666666,0.17716066666666666,1999-10-18,19.313058472222224,-99.19472272222222,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
DFE101189,"MEXOPORO, S.C.",INDUSTRIAL,18000.0,0.018,18000.0,0.018,2013-04-30,19.33764175,-99.2174447777778,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
MEX100861,"CLUB DE GOLF CHAPULTEPEC, S.A.",SERVICIOS,15410.0,0.01541,7705.0,0.007705,1995-08-15,19.433335472222225,-99.24500033333334,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
MEX100861,"CLUB DE GOLF CHAPULTEPEC, S.A.",SERVICIOS,50000.0,0.05,25000.0,0.025,1995-08-15,19.431946583333332,-99.24361091666668,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
MEX103474,EPIFANIO CARLOS LOPEZ MARTINEZ,PECUARIO,100000.0,0.1,100000.0,0.1,1998-08-28,19.371974861111116,-99.34044430555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
MEX109101,"ORGANISMO PUBLICO DESCENTRALIZADO PARA LA PRESTACION DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLAD SIN TIPO DE SOC",PÚBLICO URBANO,100000.0,0.1,50000.0,0.05,2013-02-14,19.32500058333333,-99.40833463888887,1501,VALLE DE TOLUCA,True,REPDA_ANEXOS_SUB_2025-06
MEX109101,"ORGANISMO PUBLICO DESCENTRALIZADO PARA LA PRESTACION DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLAD SIN TIPO DE SOC",PÚBLICO URBANO,175000.0,0.175,87500.0,0.0875,2013-02-14,19.31980558333333,-99.40466686111112,1501,VALLE DE TOLUCA,True,REPDA_ANEXOS_SUB_2025-06
MEX109171,"HICA CONDUCTORES, S.A. DE C.V.",SERVICIOS,150000.0,0.15,75000.0,0.075,2017-01-18,19.407780694444444,-99.29861144444445,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
MEX109171,"HICA CONDUCTORES, S.A. DE C.V.",SERVICIOS,650000.0,0.65,325000.0,0.325,2017-01-18,19.407780388888888,-99.2983335,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
MEX160080,"HIDROSERVICIOS TCP, S.A. DE C.V.",SERVICIOS,2490000.0,2.49,2490000.0,2.49,2018-11-28,19.4294505,-99.29222211111112,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
