CLV_ACUI,NOM_ACUI,NOM_EDO,RECARGA_TO,DESCARGA_N,DMA_NEGATI
0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,DISTRITO FEDERAL,512.8,0.0,-480.429914
1501,VALLE DE TOLUCA,MEXICO,336.8,53.6,-128.71556
