titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,fecha_titulo,colonia,alcaldia,en_poniente
13DFE100556/26FMDA11,"CIGARROS LA TABACALERA MEXICANA, S.DE R.L. DE C.V.",INDUSTRIAL,3700.0,0.0037,1996-05-16,San Pedro Xalpa,Azcapotzalco,False
13DFE100559/26FMGR06,SERVICIO DE TRANSPORTES ELECTRICOS DEL DISTRITO FEDERAL,INDUSTRIAL,91208.0,0.091208,1996-04-23,San Andres Tetepilco,Iztapalapa,False
13DFE100574/26FMGR06,"MOLINO HERCULES, S.A.",INDUSTRIAL,250.0,0.00025,1996-05-17,Nva Industrial Vallejo,Gustavo A. Madero,False
13DFE100591/26EMOC07,"INMUEBLES E INVERSIONES, S. A.",SERVICIOS,411.0,0.000411,1997-06-03,Altavista,Alvaro Obregon,True
13DFE100599/26EMGR06,"UNIVERSIDAD TECNOLOGICA DE MEXICO, S. C.",SERVICIOS,22487.0,0.022487,1996-06-20,Granjas Esmeralda,Iztapalapa,False
13DFE100609/26FMDA09,"BRIDGESTONE DE MEXICO, S. A. DE C. V.",INDUSTRIAL,17043.0,0.017043,1996-10-14,Granada,Miguel Hidalgo,True
13DFE100618/26FMDA08,"MARIA ELENA DOMINGUEZ BRIONES, MARIA TERESA DOMINGUEZ BRIONES, ANA MARIA DOMINGUEZ BRIONES Y ARMANDO ALEJANDRO DOMINGUEZ BRIONES",INDUSTRIAL,6800.0,0.0068,1996-07-22,Guerrero,Cuauhtemoc,False
13DFE100619/26FMDA10,"FAUSTO SUAREZ, S.A. DE C.V.",INDUSTRIAL,68.0,6.8e-05,1996-07-04,Nva Industrial Vallejo,Gustavo A. Madero,False
13DFE100624/26EMDA09,FRANCISCO GRANILLO ORDOÑEZ,SERVICIOS,240.0,0.00024,1996-09-19,Country Club,Coyoacan,False
13DFE100635/26FMGR06,"TIZAYUCA TEXTIL VUVA, S.A. DE C.V.",INDUSTRIAL,130291.0,0.130291,1996-10-02,Nueva Argentina,Miguel Hidalgo,True
13DFE100637/26EMDA08,"ASOCIACIÓN CRISTIANA DE JOVENES DE LA CIUDAD DE MÉXICO (YMCA), A.C.",SERVICIOS,23192.0,0.023192,1996-08-14,Anahuac,Miguel Hidalgo,True
13DFE100638/26EPDA14,"ASOCIACION FRANCO MEXICANA SUIZA Y BELGA DE BENEFICIENCIA, I. A. P./PANTEON FRANCES",SERVICIOS,411.5,0.0004115,1998-01-20,Doctores,Cuauhtemoc,False
13DFE100639/26EMOC07,"ASOCIACION FRANCO MEXICANA SUIZA Y BELGA DE BENEFICENCIA, I. A. P./NUEVO PANTEON FRANCES",SERVICIOS,4444.0,0.004444,1997-07-01,Panteon Frances,Miguel Hidalgo,True
13DFE100640/26FMDA11,"IAMSE, S.A.",INDUSTRIAL,10264.0,0.010264,1997-06-17,Lorenzo Boturini,Venustiano Carranza,False
13DFE100641/26FMDA08,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,64800.0,0.0648,1996-08-14,Moctezuma 2Da Secc,Venustiano Carranza,False
13DFE100693/26FMGR01,"LEVADURA AZTECA, S. A. DE C. V.",INDUSTRIAL,203800.0,0.2038,1997-06-14,Granada,Miguel Hidalgo,True
