titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,fecha_titulo,colonia,alcaldia,en_poniente
5DFE100652/26FMGR96,"MOLINO DE TRIGO LA ESPERANZA, S. A.",INDUSTRIAL,1112.0,0.001112,1996-11-21,Atlampa,Cuauhtemoc,False
5DFE100654/26FMGR96,ANA MARIA SOTRES DE DEL VALLE,INDUSTRIAL,26730.0,0.02673,1996-11-21,Nueva Argentina,Miguel Hidalgo,True
5DFE100656/26FMGR96,"FABRICA NACIONAL DE MALTA, S. A. DE C. V.",INDUSTRIAL,32400.0,0.0324,1996-11-21,Lorenzo Boturini,Venustiano Carranza,False
5DFE100657/26EMGR96,SECRETARIA DE COMUNICACIONES Y TRANSPORTES,SERVICIOS,3000.0,0.003,1996-10-24,Alamos,Benito Juarez,False
5MEX100037/26FMGR94,"ACEITES INDUSTRIALES EL ZAPOTE, S.A. DE C.V.",INDUSTRIAL,120000.0,0.12,1994-05-31,Infonavit El Rosario,Azcapotzalco,False
5MEX100103/26FMGR94,"VIDRIO PLANO DE MEXICO, S.A. DE C.V.",INDUSTRIAL,7884.0,0.007884,1994-12-30,Acueducto,Gustavo A. Madero,False
5MEX100104/26FMGR94,"VIDRIO PLANO DE MEXICO, S.A. DE C.V.",INDUSTRIAL,118260.0,0.11826,1994-12-30,El Risco Ctm,Gustavo A. Madero,False
5MEX100146/26FMGR94,"ELECTROPURA, S. DE R.L. DE C.V.",INDUSTRIAL,471360.0,0.47136,1997-06-30,Infonavit El Rosario,Azcapotzalco,False
5MEX100824/26FMGR95,"KIMBERLY CLARK DE MEXICO, S.A. DE C.V.",INDUSTRIAL,239840.0,0.23984,1995-11-15,San Lorenzo Tlaltenango,Miguel Hidalgo,True
5MEX102153/26FMGR96,"INMOBILIARIA PEGASO, S. A. DE C. V.",INDUSTRIAL,38361.0,0.038361,1996-05-16,3Ra Secc Del Bosque De Chapultepec,Miguel Hidalgo,True
5MEX102179/26FMGR96,"ATWOMEK, S. A.",INDUSTRIAL,18289.0,0.018289,1997-08-27,San Lorenzo Tlaltenango,Miguel Hidalgo,True
5MEX102180/26FMGR96,"CRYOINFRA, S. A. DE C. V.",INDUSTRIAL,368000.0,0.368,1996-06-06,Lomas De Sotelo,Miguel Hidalgo,True
5MEX102376/26IMGR96,RANCHO SAN IGNACIO,DIFERENTES USOS,6000.0,0.006,1996-09-19,El Arenal,Xochimilco,False
811078,"TELEVISA, S.A. DE C.V.",SERVICIOS,450000.0,0.45,2019-06-27,Santa Ursula Coapa,Coyoacan,False
812744,FIM-TIERRA UNO S. DE R.L. DE C,SERVICIOS,270720.0,0.27072,2021-09-09,Pensil Norte,Miguel Hidalgo,True
816905,LERMA SA,SERVICIOS,14701.0,0.014701,2019-12-20,Juarez,Cuauhtemoc,False
823884,EMBOTELLADORA MEXICANA DE BEBIDAS REFRESCANTES S. DE R.L. DE C,INDUSTRIAL,1128200.0,1.1282,2022-10-07,Atlampa,Cuauhtemoc,False
827554,INMOBILIARIA BIMBO AZCAPOTZALCO S.A. DE C.V.,DIFERENTES USOS,91000.0,0.091,2020-10-28,Santo Domingo,Azcapotzalco,False
833165,LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS EN MEXICO A.R.,SERVICIOS,100000.0,0.1,2021-08-02,Solidaridad Nacional,Gustavo A. Madero,False
836038,"INMOBILIARIA GOCOS, S.A. DE C.V.",SERVICIOS,1500.0,0.0015,2021-09-21,Jardines Del Pedregal,Alvaro Obregon,True
836615,"ASOCIACION CRISTIANA DE JOVENES DE LA CD. DE MEXICO (YMCA), A.C.",SERVICIOS,7106.4,0.0071064,2024-02-22,Anahuac,Miguel Hidalgo,True
837932,NACIONAL DE COBRE S.A. DE C.V.,INDUSTRIAL,4100.0,0.0041,2021-05-25,Industrial Vallejo,Azcapotzalco,False
838721,"COMPAÑIA LANERA DE MEXICO, S.A. DE C.V.",INDUSTRIAL,19814.0,0.019814,2021-06-04,Nueva Argentina,Miguel Hidalgo,True
839279,"PROMOTORA FM, S.A. DE C.V.",SERVICIOS,264880.0,0.26488,2022-07-04,Lomas Del Chamizal 4Ta Secc,Cuajimalpa De Morelos,True
839290,"RESIDENCIAL BOSQUES & INTERLOMAS, S.A. DE C.V.",SERVICIOS,174040.0,0.17404,2023-06-30,La Navidad,Cuajimalpa De Morelos,True
839404,"PRODUCTOS MARINELA, S.A. DE C.V.",INDUSTRIAL,5000.0,0.005,2021-07-13,Lomas De Sotelo,Miguel Hidalgo,True
840620,"BEBIDAS PURIFICADAS, S, DE R.L. DE C.V.",INDUSTRIAL,510000.0,0.51,2024-05-23,Maestros De Iztacalco,Iztacalco,False
842195,"FERROCARRIL Y TERMINAL DEL VALLE DE MEXICO, S.A. DE C.V.",SERVICIOS,5000.0,0.005,2022-04-05,Santa Rosa,Gustavo A. Madero,False
842196,"INMOBILIARIA RONCESVALLES, S.A. DE C.V.",INDUSTRIAL,20000.0,0.02,2021-09-21,Granjas San Antonio,Iztapalapa,False
842910,"FIM-TIERRA UNO, S. DE R.L. DE C.V.",SERVICIOS,360000.0,0.36,2021-10-22,Ampl Granada,Miguel Hidalgo,True
843827,"CIA HARINERA DE MEXICO, S.A. DE C.V.",INDUSTRIAL,4555.0,0.004555,2022-10-21,Atlampa,Cuauhtemoc,False
844448,"GRUPO PROMOTOR DE HUIXQUILUCAN, S. DE R.L. DE C.V.",SERVICIOS,200000.0,0.2,2022-08-30,Ahuatenco,Cuajimalpa De Morelos,True
844816,"ENVASADORAS DE AGUAS EN MEXICO, S. DE R.L. DE C.V.",INDUSTRIAL,332400.0,0.3324,2022-07-19,Industrial Vallejo,Azcapotzalco,False
844865,COMERCIAL INMOBILIARIA REAL DE MEXICO S.A. DE C.V.,SERVICIOS,160000.0,0.16,2023-12-18,Ciudad De Los Deportes,Benito Juarez,False
845764,"INDUSTRIAS LACTEAS DE VALLEJO, S. DE R.L. DE C.V.",INDUSTRIAL,46018.0,0.046018,2022-06-03,Industrial Vallejo,Azcapotzalco,False
846336,"CIBANCO, S.A. I.B.M COMO FIDUCIARIO DEL FIDEICOMISO CIB/2191",SERVICIOS,30000.0,0.03,2023-07-19,Granada,Miguel Hidalgo,True
847184,"BEBIDAS PURIFICADAS, S. DE R.L. DE C.V.",INDUSTRIAL,511392.0,0.511392,2022-08-05,Maestros De Iztacalco,Iztacalco,False
847477,"OPTIFIN, S.A.P.I. DE C.V.",SERVICIOS,285200.0,0.2852,2022-07-01,Barrio San Miguel Mixquic,Tlahuac,False
847588,"ODIPARK 990, S.A.",INDUSTRIAL,70000.0,0.07,2022-07-19,Ferreria,Azcapotzalco,False
850539,"CONSTRUCTORA EL TOREO, S.A. DE C.V.",SERVICIOS,300000.0,0.3,2023-11-09,Lomas De Sotelo,Miguel Hidalgo,True
850978,"INTERLOMAS PARQUE CLUB, S.A. DE C.V.",SERVICIOS,1235000.0,1.235,2022-12-12,La Navidad,Cuajimalpa De Morelos,True
852626,"COMPAÑIA HULERA TACUBA, S.A. DE C.V.",INDUSTRIAL,30000.0,0.03,2023-11-23,Argentina Antigua,Miguel Hidalgo,True
854245,"PRONAV, S.A. DE C.V.",INDUSTRIAL,15000.0,0.015,2023-04-03,San Miguel Teotongo (Secc Las Torr),Iztapalapa,False
857336,"BUNGE COMERCIAL, S.A. DE C.V.",INDUSTRIAL,30000.0,0.03,2024-08-14,Industrial Vallejo,Azcapotzalco,False
859646,INMOBILIARIA PARQUE REFORMA S.A. DE C.V.,SERVICIOS,315360.0,0.31536,2024-03-08,Santa Maria La Ribera,Cuauhtemoc,False
861259,"INMUEBLES GENERAL, S.A. DE C.V.",SERVICIOS,29864.0,0.029864,2024-06-26,Doctores,Cuauhtemoc,False
862680,"NUGAR, S.A. DE C.V.",INDUSTRIAL,68575.0,0.068575,2024-07-09,Prados Del Rosario,Azcapotzalco,False
865770,"INMOBILIARIA NAVIGATOR, S.C. A.C.",SERVICIOS,100000.0,0.1,2025-04-14,Industrial Vallejo,Azcapotzalco,False
DFE100006,LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS EN MEXICO A.R.,SERVICIOS,130000.0,0.13,1994-11-29,Solidaridad Nacional,Gustavo A. Madero,False
DFE100008,"FERMIC, S.A. DE C.V.",INDUSTRIAL,513000.0,0.513,1994-06-08,Granjas Estrella,Iztapalapa,False
DFE100009,"INDUX, S.A. DE C.V.",INDUSTRIAL,18000.0,0.018,1994-06-30,Bosques 1Ra Secc,Alvaro Obregon,True
DFE100047,CENTRO DEPORTIVO CHAPULTEPEC A.C.,SERVICIOS,6978.0,0.006978,1995-05-30,1Ra Secc Del Bosque De Chapultepec,Miguel Hidalgo,True
DFE100060,"COBRE DE MEXICO, S.A. DE C.V.",INDUSTRIAL,149073.0,0.149073,1995-04-11,San Salvador Xochimanca,Azcapotzalco,False
DFE100064,"LAVANDERIA LA EUROPEA, S.A. DE C.V.",INDUSTRIAL,77328.0,0.077328,1994-11-22,Anahuac,Miguel Hidalgo,True
DFE100074,"FUNDACION DE AYUDA A LA ANCIANIDAD, INSTITUCION DE ASISTENCIA PRIVADA",SERVICIOS,1700.0,0.0017,1995-07-12,San Angel,Alvaro Obregon,True
DFE100080,"NUEVA ESCUELA JUSTO SIERRA, A.C.",SERVICIOS,52024.0,0.052024,1995-03-29,Santa Maria Insurgentes,Cuauhtemoc,False
DFE100098,"INDUSTRIAS UNIDAS, S.A. DE C.V.",INDUSTRIAL,17187.0,0.017187,1995-07-25,Ampl San Juan De Aragon,Gustavo A. Madero,False
DFE100111,"COMPAÑIA PAPELERA EL FENIX, S.A. DE C.V.",INDUSTRIAL,15000.0,0.015,1995-07-17,Ampl Del Gas,Azcapotzalco,False
DFE100150,CIRCULO FRANCES DE MEXICO A.C.,SERVICIOS,114559.0,0.114559,1996-07-04,Florida,Alvaro Obregon,True
DFE100168,PANIFICACION BIMBO,INDUSTRIAL,105120.0,0.10512,1996-02-27,Unidad Hab San Pablo Xalpa,Azcapotzalco,False
DFE100173,"INMOBILIARIA EZCO, S.A.",INDUSTRIAL,103680.0,0.10368,1996-02-19,Granjas Estrella,Iztapalapa,False
DFE100504,"GRUPO GAMESA, S. DE R.L. DE C.V.",INDUSTRIAL,110498.0,0.110498,1996-07-04,Santa Cruz De Las Salinas,Azcapotzalco,False
DFE100506,PARQUE ARTURO MUNDET A.C.,INDUSTRIAL,118510.0,0.11851,1996-05-06,Irrigacion,Miguel Hidalgo,True
DFE100516,"INDUSTRIAS J.L.C., S.A. DE C.V.",INDUSTRIAL,67015.0,0.067015,1996-05-16,San Juan Xalpa,Iztapalapa,False
DFE100541,"INDUSTRIA DE REFRESCOS, S. DE R.L. DE C.V.",INDUSTRIAL,180596.0,0.180596,1996-10-02,San Salvador Xochimanca,Azcapotzalco,False
DFE100545,"PROCTER & GAMBLE MANUFACTURING, S. DE R.L. DE C.V.",INDUSTRIAL,765880.0,0.76588,1996-05-16,Industrial Vallejo,Azcapotzalco,False
DFE100552,LA SUIZA SA DE CV S.A. DE C.V.,INDUSTRIAL,7000.0,0.007,1996-09-19,Ex Hipodromo De Peralvillo,Cuauhtemoc,False
DFE100631,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,SERVICIOS,50000.0,0.05,1996-08-14,San Bartolo El Chico,Tlalpan,False
DFE100691,"INMOBILIARIA FAUSTO SUAREZ, S.A. DE C.V.",INDUSTRIAL,68.0,6.8e-05,1997-03-12,Nva Industrial Vallejo,Gustavo A. Madero,False
DFE100756,"FANTASIAS MIGUEL, S.A. DE C.V.",INDUSTRIAL,20000.0,0.02,1999-06-28,Anahuac Mariano Escobedo,Miguel Hidalgo,True
DFE100778,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO SIN TIPO DE SOC,SERVICIOS,531482.0,0.531482,1999-10-18,Ciudad Universitaria,Coyoacan,False
DFE100884,"INDUSTRIA DE REFRESCOS, S. DE R.L. DE C.V.",INDUSTRIAL,290000.0,0.29,2002-05-10,Santa Cruz De Las Salinas,Azcapotzalco,False
DFE100936,"FABRICA DE HIELO LA SIBERIA, S.A. DE C.V.",INDUSTRIAL,90000.0,0.09,2004-04-02,Granjas Modernas,Gustavo A. Madero,False
DFE100937,"FABRICA DE HIELO LA MODERNA, S. A. DE C .V. S.A. DE C.V.",INDUSTRIAL,130000.0,0.13,2004-04-02,San Salvador Xochimanca,Azcapotzalco,False
DFE101040,"WYETH, S. DE R.L. DE C.V.",INDUSTRIAL,130000.0,0.13,2008-02-26,Industrial Vallejo,Azcapotzalco,False
DFE101059,"BEBIDAS PURIFICADAS, S. DE .R.L. DE C.V.",INDUSTRIAL,206759.0,0.206759,2008-07-28,Maestros De Iztacalco,Iztacalco,False
DFE101189,"MEXOPORO, S.C.",INDUSTRIAL,18000.0,0.018,2013-04-30,Olivar De Los Padres,Alvaro Obregon,True
DFE155947,ENVASADORAS DE AGUAS EN MEXICO S. DE R.L. DE C.V.,INDUSTRIAL,160526.0,0.160526,2017-07-12,Industrial Vallejo,Azcapotzalco,False
MEX100005,"CELULOSAS MAIRO, S. DE R.L. DE C.V.",INDUSTRIAL,27000.0,0.027,1994-06-23,San Miguel Teotongo (Secc Mercedes),Iztapalapa,False
MEX100549,"MANUFACTURAS KALTEX, S. A. DE C. V. S.A. DE C.V.",INDUSTRIAL,37440.0,0.03744,1995-09-07,Lomas De Sotelo,Miguel Hidalgo,True
MEX100554,FABRICA NACIONAL DE LIJA S.A. DE C.V.,INDUSTRIAL,26661.0,0.026661,1994-12-13,Infonavit El Rosario,Azcapotzalco,False
MEX100556,INMOBILIARIA CARPER S.A. DE C.V.,INDUSTRIAL,16398.0,0.016398,1994-12-13,Infonavit El Rosario,Azcapotzalco,False
MEX100577,"EMPAQUES MODERNOS SAN PABLO, S. DE R.L. DE C.V.",INDUSTRIAL,471398.0,0.471398,1995-07-07,Santa Barbara,Azcapotzalco,False
MEX101191,"GRUPO SMURFIT MEXICO, S.A. DE C.V.",INDUSTRIAL,2550.0,0.00255,1996-02-19,Ampl San Pedro Xalpa,Azcapotzalco,False
MEX101210,"INMOBILIARIA DE INDUSTRIAS, S.A. Y COLORTEX, S.A. DE C.V.",INDUSTRIAL,252736.0,0.252736,1995-11-06,Ampl San Pedro Xalpa,Azcapotzalco,False
MEX101278,"PROCTER & GAMBLE MANUFACTURING MEXICO, S. DE R.L. DE C.V.",INDUSTRIAL,25000.0,0.025,1995-11-29,Ampl San Pedro Xalpa,Azcapotzalco,False
MEX102608,GRUPO LA FLORIDA MEXICO S. A. DE C. V.,INDUSTRIAL,431176.0,0.431176,1997-06-04,Industrial Vallejo,Azcapotzalco,False
MEX102644,"MEXICHEM RESINAS VINILICAS, S.A. DE C.V.",INDUSTRIAL,140068.0,0.140068,1998-01-20,Guadalupe Ticoman,Gustavo A. Madero,False
MEX104873,ANTONIO NOVOA GARCIA,INDUSTRIAL,21000.0,0.021,1999-12-27,Barrio San Andres,Azcapotzalco,False
MEX106159,"ABUD ATTIE DAYAN, MARIA LANIADO SAADE, ISIDORO ATTIE LANIADO, ISAAC ATTIE LANIADO",INDUSTRIAL,45000.0,0.045,2001-12-06,Ampl San Pedro Xalpa,Azcapotzalco,False
MEX150239,TRANSPO S. A DE C. V.,INDUSTRIAL,339196.0,0.339196,2013-07-04,Industrial Vallejo,Azcapotzalco,False
