num_pozo,nom_pozo,cve_acui,nom_acuif,nom_edo,latitud,longitud,anio_primero,anio_ultimo,pne_primero_m,pne_ultimo_m,delta_pne_m,tasa_abatimiento_m_anio,n_obs,nivel_estres,id_colonia,colonia,alcaldia,en_poniente,label,dist_colonia_m,en_bbox_piloto
5120,.B-643,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.27644,-99.178235,1996.0,2013.0,91.93,88.26,-3.6700000000000017,-0.21588235294117658,14,RECUPERACION_O_ESTABLE,12834.0,El Convento,Tlalpan,False,El Convento — Tlalpan,0.0,False
5121,.B-806,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.470332,-99.192985,1996.0,2025.0,60.61,123.37,62.760000000000005,2.164137931034483,12,ALTO,12466.0,Refineria 18 De Marzo,Miguel Hidalgo,True,Refineria 18 De Marzo — Miguel Hidalgo,0.0,True
5126,.BO-67,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.539269,-99.182889,1996.0,2025.0,41.77,49.07,7.299999999999997,0.2517241379310344,29,LEVE,11999.0,Santa Rosa,Gustavo A. Madero,False,Santa Rosa — Gustavo A. Madero,834.3097521002135,False
5130,.C-333,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.386519,-99.244294,1996.0,2021.0,167.06,138.4,-28.659999999999997,-1.1463999999999999,24,RECUPERACION_O_ESTABLE,11142.0,Zedec Santa Fe,Alvaro Obregon,True,Zedec Santa Fe — Alvaro Obregon,0.0,True
5131,.C-411V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.537556,-99.143497,1996.0,2025.0,12.75,4.79,-7.96,-0.27448275862068966,28,RECUPERACION_O_ESTABLE,11901.0,El Arbolillo 3,Gustavo A. Madero,False,El Arbolillo 3 — Gustavo A. Madero,0.0,False
5132,.DW-47,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.488,-99.200806,1996.0,2025.0,67.25,63.0,-4.25,-0.14655172413793102,18,RECUPERACION_O_ESTABLE,11441.0,Petrolera,Azcapotzalco,False,Petrolera — Azcapotzalco,0.0,False
5133,.DX-86V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.5015,-99.202944,1997.0,2025.0,63.33,63.0,-0.3299999999999983,-0.011785714285714224,22,RECUPERACION_O_ESTABLE,11394.0,Infonavit El Rosario,Azcapotzalco,False,Infonavit El Rosario — Azcapotzalco,0.0,False
5134,.DX-96,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.466244,-99.216953,1996.0,2015.0,80.76,89.46,8.699999999999989,0.4578947368421047,14,MEDIO,12465.0,San Lorenzo Tlaltenango,Miguel Hidalgo,True,San Lorenzo Tlaltenango — Miguel Hidalgo,478.1851793697844,True
5135,.E-409,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.410397,-99.158517,1997.0,2025.0,39.87,53.6,13.730000000000004,0.490357142857143,5,MEDIO,11821.0,Centro Urbano Benito Juarez,Cuauhtemoc,False,Centro Urbano Benito Juarez — Cuauhtemoc,0.0,False
5136,.FA-03V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.440717,-99.188953,1996.0,2025.0,66.8,79.0,12.200000000000003,0.4206896551724139,24,MEDIO,12503.0,Anahuac Dos Lagos,Miguel Hidalgo,True,Anahuac Dos Lagos — Miguel Hidalgo,0.0,True
